Nationality,A,B-1,B-2,"B-1,2","B-1,2 / BCC",C,C-1/D,CW,D,E,F,G,H,I,J
Macau S.A.R.,0.0,0.0,0.0,190.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,1.0,6.0,0.0,8.0
Madagascar,63.0,2.0,0.0,851.0,0.0,323.0,8.0,0.0,393.0,0.0,153.0,208.0,15.0,0.0,116.0
Malawi,95.0,6.0,0.0,1123.0,0.0,21.0,14.0,0.0,0.0,1.0,227.0,283.0,19.0,0.0,108.0
Malaysia,805.0,312.0,1.0,17519.0,0.0,13.0,1818.0,0.0,1.0,15.0,1267.0,236.0,478.0,26.0,1697.0
Maldives,98.0,1.0,0.0,112.0,0.0,4.0,11.0,0.0,0.0,0.0,9.0,61.0,0.0,0.0,25.0
Mali,148.0,2.0,7.0,1301.0,0.0,2.0,1.0,0.0,0.0,0.0,64.0,106.0,4.0,7.0,71.0
Malta,48.0,1.0,0.0,93.0,0.0,0.0,39.0,0.0,0.0,0.0,38.0,46.0,9.0,5.0,32.0
Marshall Islands,6.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mauritania,93.0,1.0,0.0,397.0,0.0,1.0,0.0,0.0,0.0,0.0,35.0,101.0,8.0,1.0,34.0
Mauritius,37.0,1.0,0.0,1044.0,0.0,3.0,1154.0,0.0,0.0,2.0,81.0,41.0,48.0,2.0,131.0
Mexico,2074.0,3122.0,90.0,11547.0,1244482.0,44.0,4084.0,0.0,46.0,2394.0,8452.0,429.0,365695.0,670.0,15101.0
"Micronesia, Federated States of",7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Moldova,167.0,37.0,6.0,2298.0,0.0,0.0,91.0,0.0,0.0,7.0,67.0,52.0,34.0,9.0,444.0
Monaco,14.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0,1.0
Mongolia,307.0,78.0,90.0,3771.0,0.0,73.0,18.0,24.0,0.0,36.0,1096.0,115.0,343.0,25.0,1449.0
